"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"150616 Rio Maria";-;2;8;1;6;1;1;2;-;2;8;16;6;2;3;3;4;4;1;38;108
"150618 Rondon do Pará";1;5;14;5;10;2;1;4;-;2;18;23;5;3;2;2;3;3;3;43;149
"150619 Rurópolis";2;2;9;2;8;2;1;1;-;2;6;30;5;1;10;2;6;3;-;53;145
"150620 Salinópolis";2;9;22;7;20;4;1;4;-;10;26;36;3;1;3;2;4;2;11;103;270
"150630 Salvaterra";-;3;4;3;5;3;-;1;-;-;6;10;3;2;2;-;2;2;-;26;72
"150635 Santa Bárbara do Pará";-;-;4;2;7;2;-;1;-;1;10;22;5;1;3;-;4;1;-;35;98
"150640 Santa Cruz do Arari";-;-;2;1;4;-;-;-;-;-;4;9;-;-;-;-;1;-;-;23;44
"150650 Santa Izabel do Pará";2;1;31;4;20;2;3;5;-;17;36;52;8;3;7;2;15;13;-;85;306
"150655 Santa Luzia do Pará";-;-;1;-;9;-;-;-;-;-;9;11;-;1;1;-;1;1;-;13;47
"150658 Santa Maria das Barreiras";1;1;7;-;6;-;-;1;-;-;8;16;2;-;1;3;3;4;1;31;85
"150660 Santa Maria do Pará";1;-;15;2;11;-;1;2;-;2;9;18;5;1;2;1;2;2;1;42;117
"150670 Santana do Araguaia";-;4;11;2;12;2;1;1;-;3;24;28;9;1;1;5;9;4;5;70;192
"150680 Santarém";28;25;192;50;61;44;7;30;-;338;112;480;114;27;24;51;37;60;16;1087;2783
"150690 Santarém Novo";-;-;3;-;3;-;-;1;-;-;4;17;2;-;-;1;-;-;2;20;53
"150700 Santo Antônio do Tauá";-;3;7;3;9;3;1;1;-;3;12;22;3;1;3;-;4;2;-;65;142
"150710 São Caetano de Odivelas";-;-;1;-;7;-;-;-;-;-;16;13;1;-;-;1;3;1;1;32;76
"150715 São Domingos do Araguaia";-;1;6;-;8;-;1;2;-;1;6;16;4;-;1;3;2;2;-;30;83
"150720 São Domingos do Capim";-;-;11;1;14;2;1;2;-;4;17;63;7;2;3;3;6;3;1;84;224
"150730 São Félix do Xingu";-;6;22;1;17;1;-;9;-;11;28;58;5;1;3;5;7;2;-;137;313
"150740 São Francisco do Pará";-;-;4;1;7;-;-;-;-;-;9;16;2;-;1;-;2;1;1;36;80
"150745 São Geraldo do Araguaia";-;3;10;-;10;1;-;-;-;-;8;23;5;-;2;4;3;2;-;44;115
"150746 São João da Ponta";-;-;1;-;3;-;-;1;-;-;3;12;1;1;1;1;1;1;-;9;35
"150747 São João de Pirabas";-;-;6;-;9;-;-;1;-;-;7;22;1;-;3;2;5;2;-;28;86
"150750 São João do Araguaia";-;-;5;1;5;-;-;-;-;-;9;11;2;-;1;-;1;1;-;26;62
"150760 São Miguel do Guamá";-;3;9;2;8;1;1;3;-;4;13;31;4;1;5;1;7;2;-;97;192
"150770 São Sebastião da Boa Vista";-;3;5;3;6;1;-;1;-;-;4;15;1;-;1;1;-;-;1;38;80
"150775 Sapucaia";-;-;4;-;2;-;-;2;-;-;2;9;3;-;-;3;2;2;-;12;41
"150780 Senador José Porfírio";1;2;4;-;4;-;-;1;-;-;5;8;3;-;3;1;-;1;-;22;55
"150790 Soure";-;3;10;4;5;4;-;1;-;-;5;11;4;1;2;-;4;2;9;21;86
"150795 Tailândia";6;3;17;2;10;3;1;10;-;14;21;58;10;2;6;9;7;6;-;152;337
"150796 Terra Alta";-;-;9;1;-;-;-;-;-;-;6;17;1;-;-;-;2;1;-;19;56
"150797 Terra Santa";1;1;2;1;4;-;-;2;-;1;4;18;4;-;-;1;4;-;-;34;77
"150800 Tomé-Açu";1;2;18;2;9;1;1;3;-;11;18;36;11;5;3;3;9;3;1;90;227
"150803 Tracuateua";-;-;12;3;17;-;1;2;-;2;12;31;5;2;3;2;5;2;3;45;147
"150805 Trairão";2;2;5;-;4;-;-;1;-;1;2;15;2;-;-;-;-;1;-;26;61
"150808 Tucumã";3;16;22;5;10;3;1;4;-;16;37;34;11;5;1;3;6;6;-;66;249
"150810 Tucuruí";13;11;69;22;28;25;4;19;-;79;55;219;56;24;45;19;37;27;11;456;1219
"150812 Ulianópolis";1;7;13;1;10;1;1;5;-;17;17;34;8;2;6;3;6;7;1;86;226
"150815 Uruará";-;5;13;3;10;2;-;-;-;1;8;23;6;-;2;3;4;2;-;54;136
"150820 Vigia";1;2;15;2;9;3;2;-;-;4;8;39;5;1;5;1;8;4;5;52;166
"150830 Viseu";1;4;10;3;12;1;1;2;-;1;17;35;8;2;6;1;7;2;7;91;211
"150835 Vitória do Xingu";1;1;16;3;5;1;1;1;-;3;22;41;3;2;2;6;6;4;-;83;201
"150840 Xinguara";-;3;23;3;14;3;4;5;-;14;26;48;11;3;4;9;6;7;2;62;247
"160010 Amapá";-;-;4;1;2;-;-;-;-;-;8;16;2;-;1;1;1;2;-;54;92
"160020 Calçoene";-;-;5;-;3;-;-;-;-;-;6;23;1;-;2;1;1;4;-;45;91
"160021 Cutias";-;-;2;-;2;-;-;-;-;-;3;10;2;-;-;-;1;1;-;28;49
"160023 Ferreira Gomes";-;-;5;1;5;-;-;-;-;-;8;23;1;-;1;3;2;2;-;61;112
"160025 Itaubal";-;-;1;-;3;-;-;-;-;-;4;9;2;-;1;1;1;1;1;20;44
"160027 Laranjal do Jari";3;3;15;5;20;2;2;1;-;5;20;63;17;5;4;4;7;13;-;182;371
"160030 Macapá";61;75;340;117;84;120;16;63;-;567;406;894;327;89;126;149;111;130;16;2430;6121
"160040 Mazagão";-;-;5;2;6;-;-;-;-;-;8;24;6;1;2;1;2;1;-;80;138
"160050 Oiapoque";1;3;11;2;6;2;-;-;-;1;12;28;6;-;5;6;6;5;-;83;177
"160015 Pedra Branca do Amapari";-;-;4;1;4;-;-;8;-;-;11;22;4;1;2;2;2;2;1;83;147
"160053 Porto Grande";-;-;7;1;9;2;-;1;-;2;9;34;12;-;2;2;3;3;-;106;193
"160055 Pracuúba";-;-;-;-;2;-;-;-;-;-;2;7;1;-;1;1;-;-;-;9;23
"160060 Santana";6;9;41;19;31;21;1;5;-;34;67;132;49;20;22;9;21;25;1;399;912
"160005 Serra do Navio";-;-;7;-;2;-;-;-;-;-;5;20;7;-;8;-;1;6;-;55;111
"160070 Tartarugalzinho";-;-;3;-;4;-;-;-;-;-;7;23;7;4;1;3;2;5;-;66;125
"160080 Vitória do Jari";-;-;6;-;5;-;-;-;-;-;7;15;2;1;1;2;2;1;-;50;92
"170025 Abreulândia";-;-;-;-;1;-;-;-;-;-;2;3;1;-;-;1;1;1;1;5;16
"170030 Aguiarnópolis";-;-;-;-;2;1;-;-;-;-;3;6;2;-;-;-;-;1;1;13;29
"170035 Aliança do Tocantins";-;-;3;-;2;-;-;-;-;-;2;7;2;-;-;1;1;1;-;17;36
"170040 Almas";-;-;2;-;3;-;-;-;-;-;4;8;1;-;-;1;-;-;2;21;42
"170070 Alvorada";2;4;17;3;4;2;-;-;-;3;6;24;4;2;1;5;3;3;1;31;115
"170100 Ananás";-;1;4;1;5;-;-;1;-;-;4;13;1;-;-;2;1;1;-;32;66
"170105 Angico";-;-;-;-;2;-;-;-;-;-;2;3;1;-;1;2;1;2;-;6;20
"170110 Aparecida do Rio Negro";-;-;2;-;3;-;-;-;-;-;2;3;1;-;-;2;-;1;-;7;21
"170130 Aragominas";-;-;2;-;3;-;-;-;-;-;4;12;1;-;-;1;1;1;-;16;41
"170190 Araguacema";-;-;4;1;3;-;-;1;-;-;3;6;3;-;-;1;-;-;-;15;37
"170200 Araguaçu";-;1;7;1;4;1;-;1;-;1;8;17;5;1;2;4;3;3;-;56;115
"170210 Araguaína";39;52;383;100;31;89;19;52;-;486;212;651;116;22;41;132;69;51;-;1634;4179
"170215 Araguanã";-;-;2;-;2;-;-;-;-;-;4;8;1;-;1;1;1;1;-;12;33
"170220 Araguatins";-;-;9;2;13;-;1;-;-;1;17;40;4;-;3;5;4;4;-;67;170
"170230 Arapoema";1;1;10;3;3;2;-;2;-;2;5;18;2;-;1;5;4;1;-;29;89
"170240 Arraias";3;1;10;1;6;1;-;-;-;2;9;27;5;1;3;3;3;4;-;57;136
"170255 Augustinópolis";-;10;33;13;5;8;1;2;-;32;17;76;15;2;4;12;13;5;1;182;431
"170270 Aurora do Tocantins";-;-;-;-;2;-;-;-;-;-;2;5;1;-;-;1;1;1;15;1;29
"170290 Axixá do Tocantins";-;-;1;-;5;-;-;-;-;-;5;9;2;-;1;1;2;1;-;19;46
"170300 Babaçulândia";-;-;6;-;4;-;-;-;-;-;4;21;1;-;-;2;-;1;-;21;60
"170305 Bandeirantes do Tocantins";-;-;2;-;1;1;-;-;-;-;2;11;1;-;-;1;-;-;-;10;29
"170307 Barra do Ouro";-;-;-;-;2;-;-;-;-;-;2;3;1;-;-;1;1;-;-;12;22
"170310 Barrolândia";-;-;4;-;2;-;-;1;-;2;4;6;4;1;1;1;3;2;1;17;49
"170320 Bernardo Sayão";-;-;1;-;2;-;-;-;-;-;3;5;1;-;1;2;-;1;-;5;21
"170330 Bom Jesus do Tocantins";-;-;-;-;2;-;-;-;-;-;2;2;1;-;-;1;1;1;-;5;15
"170360 Brasilândia do Tocantins";-;-;-;-;1;-;-;-;-;-;1;4;1;-;1;-;1;1;-;5;15
"170370 Brejinho de Nazaré";-;-;1;-;2;-;-;-;-;-;3;8;1;-;1;1;-;-;-;16;33
"170380 Buriti do Tocantins";-;-;3;-;4;-;1;-;-;-;2;16;2;-;1;3;2;1;-;30;65
"170382 Cachoeirinha";-;-;-;-;1;-;-;-;-;-;1;4;1;-;-;1;-;-;-;5;13
"170384 Campos Lindos";-;-;-;-;3;-;-;-;-;-;3;6;1;-;-;1;1;1;-;16;32
"170386 Cariri do Tocantins";-;-;4;-;2;-;-;-;-;-;6;14;1;-;-;4;2;3;-;10;46
"170388 Carmolândia";-;-;-;-;1;-;-;-;-;-;2;2;1;-;1;-;1;1;-;8;17
"170389 Carrasco Bonito";-;-;1;1;2;-;-;-;-;-;4;5;1;-;1;2;1;1;-;15;34
"170390 Caseara";-;-;1;-;2;-;-;-;-;-;3;3;1;-;-;1;1;1;-;10;23
"170410 Centenário";-;-;1;-;1;-;-;-;-;-;2;3;1;-;-;1;1;-;-;5;15
"170510 Chapada da Natividade";-;-;-;-;1;-;-;-;-;-;3;3;1;-;-;-;-;1;-;14;23
"170460 Chapada de Areia";-;-;-;-;1;-;-;-;-;-;1;1;1;-;1;1;-;1;-;6;13
"170550 Colinas do Tocantins";-;2;22;2;13;3;2;7;-;17;49;27;8;8;3;7;11;15;2;61;259
"171670 Colméia";-;-;7;-;4;-;-;1;-;1;6;14;4;-;1;2;2;3;-;19;64
"170555 Combinado";-;-;2;-;-;-;-;-;-;-;2;8;1;-;-;1;2;1;-;8;25
"170560 Conceição do Tocantins";-;-;-;-;2;-;-;-;-;-;4;4;1;-;-;1;1;1;-;14;28
"170600 Couto Magalhães";-;-;1;-;3;-;-;-;-;-;4;8;1;-;-;-;-;1;1;5;24
"170610 Cristalândia";-;-;5;-;3;-;1;1;-;-;4;8;1;-;-;2;1;1;-;19;46
"170625 Crixás do Tocantins";-;-;2;-;1;-;-;-;-;-;1;6;1;-;-;-;-;-;-;9;20
"170650 Darcinópolis";-;-;1;-;2;-;-;-;-;-;2;5;1;-;-;1;2;1;-;11;26
"170700 Dianópolis";-;1;17;1;7;1;1;2;-;1;11;34;10;3;1;2;7;7;-;59;165
"170710 Divinópolis do Tocantins";1;-;7;1;3;-;-;-;-;-;4;13;2;-;1;2;1;1;-;21;57
"170720 Dois Irmãos do Tocantins";-;-;3;1;3;-;-;-;-;-;4;6;2;-;-;2;2;1;-;18;42
"170730 Dueré";-;-;3;1;2;-;1;-;-;2;2;7;2;-;-;2;-;2;-;16;40
"170740 Esperantina";-;-;2;-;4;-;-;-;-;-;3;10;1;-;1;1;1;-;-;22;45
"170755 Fátima";-;-;3;-;2;-;-;-;-;-;5;8;2;-;-;1;1;1;-;16;39
"170765 Figueirópolis";-;-;2;-;2;-;-;-;-;-;4;7;3;-;-;1;1;1;-;7;28
"170770 Filadélfia";-;-;1;-;4;-;-;-;-;-;4;8;2;-;1;1;-;1;-;13;35
"170820 Formoso do Araguaia";-;-;13;-;7;1;1;-;-;-;5;26;3;2;2;3;2;5;-;36;106
"170825 Fortaleza do Tabocão";-;-;2;-;1;-;-;-;-;-;2;15;3;-;-;1;1;2;-;10;37
"170830 Goianorte";-;-;4;-;2;-;-;-;-;-;2;6;2;-;-;2;-;1;-;10;29
"170900 Goiatins";-;-;5;-;4;-;-;-;-;-;2;15;2;-;1;-;1;1;1;20;52
"170930 Guaraí";1;10;27;6;11;5;-;1;-;9;25;64;14;6;3;7;10;9;1;103;312
"170950 Gurupi";1;23;192;36;29;30;10;24;-;130;111;256;85;14;15;31;28;62;1;559;1637
"170980 Ipueiras";-;-;-;-;1;-;-;-;-;-;1;2;1;-;-;1;-;1;-;14;21
"171050 Itacajá";-;-;6;-;3;-;-;-;-;-;5;15;1;-;-;1;1;1;1;30;64
"171070 Itaguatins";-;-;-;-;3;-;-;-;-;-;2;4;1;-;1;-;-;1;-;10;22
"171090 Itapiratins";-;-;-;-;2;-;-;-;-;-;2;2;1;-;-;1;-;1;-;7;16
"171110 Itaporã do Tocantins";-;-;1;-;1;-;-;-;-;-;1;5;1;-;-;1;1;1;-;11;23
"171150 Jaú do Tocantins";-;-;2;1;4;-;-;-;-;-;3;5;3;-;-;1;1;2;1;5;28
"171180 Juarina";-;-;-;-;1;-;-;-;-;-;2;2;1;-;-;-;1;1;1;6;15
"171190 Lagoa da Confusão";-;-;4;-;3;-;-;-;-;-;4;12;3;2;-;3;1;1;-;17;50
"171195 Lagoa do Tocantins";-;-;1;-;2;-;-;-;-;-;2;6;2;-;-;1;1;1;-;23;39
"171200 Lajeado";-;-;6;-;2;-;-;-;-;-;3;9;1;-;-;2;1;2;-;21;47
"171215 Lavandeira";-;-;1;-;1;-;-;-;-;-;3;4;1;-;-;1;-;-;1;12;24
"171240 Lizarda";-;-;-;-;1;-;-;-;-;-;2;3;1;-;-;1;-;1;-;6;15
"171245 Luzinópolis";-;-;-;-;1;-;-;-;-;6;3;3;2;-;1;1;1;-;-;16;34
"171250 Marianópolis do Tocantins";-;-;-;-;2;-;-;-;-;-;2;3;2;-;-;1;1;1;-;16;28
"171270 Mateiros";-;-;2;-;1;-;-;-;-;-;2;4;1;-;-;1;-;-;-;5;16
"171280 Maurilândia do Tocantins";-;-;1;-;2;1;-;-;-;-;2;9;1;-;1;2;-;2;-;11;32
"171320 Miracema do Tocantins";-;5;46;9;12;4;2;2;-;10;20;64;19;1;5;11;12;13;-;173;408
"171330 Miranorte";-;-;5;-;4;1;1;-;-;2;8;18;6;1;1;2;2;3;-;31;85
"171360 Monte do Carmo";-;-;5;-;2;-;-;-;-;-;5;11;4;-;3;-;-;2;1;24;57
"171370 Monte Santo do Tocantins";-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;1;1;1;-;5;12
"171395 Muricilândia";-;-;2;-;2;-;-;-;-;1;2;8;1;-;-;1;1;-;-;10;28
"171420 Natividade";-;-;5;-;4;-;-;-;-;-;6;21;2;-;1;2;1;1;-;28;71
"171430 Nazaré";-;-;2;-;2;-;-;-;-;-;5;4;1;-;-;1;1;1;-;21;38
"171488 Nova Olinda";-;-;3;-;4;-;1;-;-;-;3;11;3;1;-;1;4;3;-;23;57
"171500 Nova Rosalândia";-;-;4;-;2;-;-;-;-;-;2;7;4;-;-;1;1;1;-;21;43
"171510 Novo Acordo";-;-;-;-;2;-;-;-;-;-;2;4;1;-;-;-;1;-;-;12;22
"171515 Novo Alegre";-;-;1;-;-;-;-;-;-;-;2;10;1;-;1;1;2;2;-;11;31
"171525 Novo Jardim";-;-;-;-;1;-;-;-;-;-;2;3;2;-;1;1;1;2;1;2;16
"171550 Oliveira de Fátima";-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;1;-;-;-;3;8
"172100 Palmas";92;77;486;123;125;168;27;100;-;961;523;1292;361;91;95;146;256;245;1;2157;7326
"171570 Palmeirante";-;-;2;-;2;-;-;-;-;-;3;7;-;-;-;1;-;-;-;12;27
"171380 Palmeiras do Tocantins";-;-;1;-;4;-;-;-;-;-;5;6;1;-;-;2;1;1;-;12;33
"171575 Palmeirópolis";-;-;7;-;3;-;-;-;-;-;3;15;3;-;4;1;1;3;-;27;67
"171610 Paraíso do Tocantins";4;12;92;24;17;8;3;5;-;48;32;107;41;5;4;15;19;24;-;257;717
"171620 Paranã";-;1;3;1;5;-;-;-;-;-;4;11;4;-;-;2;1;2;1;26;61
"171630 Pau D'Arco";-;-;-;-;2;-;-;-;-;-;3;7;1;-;-;1;1;1;-;10;26
"171650 Pedro Afonso";-;3;24;2;5;3;-;6;-;3;15;34;5;1;1;3;6;7;-;60;178
"171660 Peixe";1;1;4;1;4;-;-;-;-;1;9;17;3;1;3;2;3;2;-;36;88
"171665 Pequizeiro";-;-;-;1;2;-;1;-;-;1;3;7;2;-;-;1;2;2;-;18;40
"171700 Pindorama do Tocantins";-;-;2;-;2;-;-;-;-;-;2;7;2;-;-;1;1;-;-;14;31
"171720 Piraquê";-;-;2;-;1;-;-;-;-;-;1;3;1;-;-;1;1;1;-;10;21
"171750 Pium";1;-;7;-;3;1;-;-;-;-;4;10;4;-;2;2;2;2;-;24;62
"171780 Ponte Alta do Bom Jesus";-;-;1;-;2;-;-;-;-;-;2;8;1;-;1;2;-;1;-;15;33
"171790 Ponte Alta do Tocantins";-;-;1;-;3;-;-;-;-;-;3;9;3;-;-;2;2;2;-;19;44
"171800 Porto Alegre do Tocantins";-;-;-;-;1;-;-;-;-;-;3;6;1;-;-;1;1;1;-;6;20
"171820 Porto Nacional";1;15;102;25;19;17;3;12;-;51;87;189;51;9;11;26;35;25;-;365;1043
"171830 Praia Norte";-;-;2;1;3;-;-;-;-;-;3;6;1;-;1;1;1;-;-;13;32
"171840 Presidente Kennedy";-;-;-;-;2;-;-;-;-;-;3;8;4;-;1;1;-;1;-;14;34
"171845 Pugmil";-;-;-;-;1;-;-;-;-;-;2;3;1;-;-;1;1;1;-;12;22
"171850 Recursolândia";-;-;-;-;2;-;-;-;-;-;1;2;1;-;1;1;3;1;-;8;20
"171855 Riachinho";-;-;-;-;2;-;-;-;-;-;2;2;1;-;-;1;1;1;1;8;19
"171865 Rio da Conceição";-;-;-;-;1;-;-;-;-;-;2;3;2;-;-;-;1;1;-;7;17
"171870 Rio dos Bois";-;-;-;-;1;1;-;-;-;-;2;2;2;-;-;1;1;1;1;5;17
"171875 Rio Sono";-;-;3;-;2;-;-;-;-;-;2;8;1;-;1;1;1;1;1;17;38
"171880 Sampaio";-;-;-;-;2;-;-;-;-;-;2;3;1;-;-;-;1;1;-;14;24
"171884 Sandolândia";-;-;1;-;2;-;-;-;-;-;2;4;1;-;1;1;1;1;-;14;28
"171886 Santa Fé do Araguaia";-;-;3;-;3;-;-;-;-;-;3;11;-;-;1;1;1;1;-;15;39
"171888 Santa Maria do Tocantins";-;-;1;-;1;-;-;-;-;-;2;1;1;-;-;1;1;1;1;6;16
"171889 Santa Rita do Tocantins";-;-;-;1;1;1;-;-;-;-;1;3;1;-;1;1;1;2;-;6;19
"171890 Santa Rosa do Tocantins";-;-;-;-;2;-;-;-;-;-;3;6;2;-;1;1;-;1;-;18;34
"171900 Santa Tereza do Tocantins";-;-;1;-;1;-;-;-;-;-;2;3;1;-;-;2;1;-;-;19;30
"172000 Santa Terezinha do Tocantins";-;-;2;-;-;-;-;-;-;-;1;3;1;-;1;1;1;1;-;6;17
"172010 São Bento do Tocantins";-;-;1;-;2;-;-;-;-;-;2;4;1;-;1;-;1;1;1;11;25
"172015 São Félix do Tocantins";-;-;-;-;1;-;-;-;-;-;2;3;1;-;-;1;-;-;-;4;12
"172020 São Miguel do Tocantins";-;1;2;1;5;2;1;-;-;2;8;9;2;-;2;2;2;1;-;15;55
"172025 São Salvador do Tocantins";-;-;-;-;2;-;-;-;-;-;1;3;2;-;1;1;-;1;-;12;23
"172030 São Sebastião do Tocantins";-;-;-;1;4;-;-;-;-;-;3;3;2;-;1;-;1;1;-;12;28
"172049 São Valério";-;-;2;-;2;-;-;-;-;-;3;10;1;-;1;-;-;1;-;18;38
"172065 Silvanópolis";-;-;4;1;1;-;-;-;-;5;3;14;1;-;1;1;2;2;-;22;57
"172080 Sítio Novo do Tocantins";-;1;3;1;5;1;1;1;-;1;9;19;2;-;1;1;2;2;-;26;76
"172085 Sucupira";-;-;-;1;2;-;-;-;-;-;2;4;1;-;1;1;-;1;-;6;19
"172090 Taguatinga";-;-;4;-;4;-;1;-;-;-;6;21;2;-;-;5;3;3;-;29;78
"172093 Taipas do Tocantins";-;-;-;-;1;-;-;-;-;-;1;2;1;-;-;-;1;1;-;8;15
"172097 Talismã";-;-;1;-;1;1;-;-;-;-;3;2;2;-;-;1;-;1;-;12;24
"172110 Tocantínia";-;-;3;-;2;-;-;-;-;-;3;8;2;-;-;1;1;-;1;27;48
"172120 Tocantinópolis";2;-;14;1;10;1;-;3;-;2;14;34;6;-;1;8;4;3;-;75;178
"172125 Tupirama";-;-;-;-;1;-;-;1;-;-;1;3;1;-;1;1;1;1;-;4;15
"172130 Tupiratins";-;-;-;-;1;-;-;-;-;-;2;1;1;-;-;2;-;1;-;8;16
"172208 Wanderlândia";-;-;3;-;5;-;-;1;-;1;5;13;1;-;-;2;1;1;-;21;54
"172210 Xambioá";-;3;14;2;4;1;-;5;-;1;10;31;5;-;2;8;3;3;-;49;141
"210005 Açailândia";7;14;62;16;27;8;5;7;-;60;46;113;8;4;12;6;14;10;5;254;678
"210010 Afonso Cunha";-;-;2;-;3;-;-;-;-;-;2;7;3;1;1;1;1;1;-;16;38
"210015 Água Doce do Maranhão";-;-;1;-;6;-;-;-;-;1;5;8;4;-;1;-;2;3;-;15;46
"210020 Alcântara";-;1;4;1;9;-;1;1;-;1;9;16;1;-;-;-;2;1;-;17;64
"210030 Aldeias Altas";-;-;3;-;10;-;1;-;-;-;3;17;4;1;2;1;3;3;1;28;77
"210040 Altamira do Maranhão";-;-;-;-;5;-;-;-;-;-;4;13;2;1;1;1;-;1;-;10;38
"210043 Alto Alegre do Maranhão";4;1;8;6;13;2;1;4;-;1;13;40;2;1;2;3;4;1;3;107;216
"210047 Alto Alegre do Pindaré";-;4;3;1;9;2;2;2;-;8;9;33;7;2;1;2;1;4;5;46;141
"210050 Alto Parnaíba";-;-;4;-;5;-;-;-;-;1;7;13;4;-;-;2;1;1;-;36;74
"210055 Amapá do Maranhão";-;-;3;-;3;-;-;-;-;-;4;8;2;-;1;1;-;1;-;11;34
"210060 Amarante do Maranhão";1;4;16;-;19;1;1;2;-;4;17;54;8;2;9;8;13;6;-;119;284
"210070 Anajatuba";-;1;12;1;16;-;1;-;1;-;15;26;9;2;2;2;4;3;-;50;145
"210080 Anapurus";-;2;5;1;6;-;1;-;-;-;5;12;4;1;-;-;2;3;-;26;68
"210083 Apicum-Açu";-;-;3;-;6;-;-;-;-;-;5;11;1;-;2;-;1;1;1;28;59
"210087 Araguanã";-;1;1;-;6;-;-;-;-;-;7;13;2;-;2;1;1;2;1;10;47
"210090 Araioses";-;1;7;-;17;-;1;1;-;5;5;28;7;2;2;-;4;4;-;41;125
"210095 Arame";-;-;12;-;10;-;-;-;-;-;11;27;4;2;1;1;1;1;1;48;119
"210100 Arari";-;2;8;1;13;1;1;1;-;1;13;25;8;2;4;3;8;5;3;44;143
"210110 Axixá";-;1;3;-;6;-;-;1;-;-;7;11;4;1;3;-;-;2;-;16;55
"210120 Bacabal";10;26;77;12;42;9;5;12;-;65;54;193;36;6;22;25;41;16;4;313;968
"210125 Bacabeira";-;-;5;2;7;1;1;1;-;2;6;28;3;-;2;-;2;1;1;29;91
"210130 Bacuri";-;-;3;-;5;-;-;1;-;-;8;14;2;1;1;1;-;1;1;34;72
"210135 Bacurituba";-;-;5;-;3;-;-;-;-;-;5;6;2;-;1;-;-;1;1;13;37
"210140 Balsas";13;13;74;17;29;12;4;10;-;43;45;182;49;16;16;14;16;26;39;378;996
"210150 Barão de Grajaú";1;1;5;2;9;1;-;-;-;5;11;22;2;1;2;-;1;2;-;42;107
"210160 Barra do Corda";2;5;21;3;23;3;1;5;-;10;25;77;24;4;3;8;16;4;14;182;430
"210170 Barreirinhas";2;12;7;8;23;4;1;5;-;12;16;56;12;3;4;3;4;7;2;137;318
"210177 Bela Vista do Maranhão";-;-;6;-;6;-;-;-;-;-;7;13;2;1;1;2;-;1;3;14;56
"210173 Belágua";-;-;2;-;2;-;-;-;-;-;2;5;-;-;-;-;1;-;-;18;30
"210180 Benedito Leite";-;-;1;-;3;-;-;-;-;-;2;6;1;-;1;2;-;1;-;17;34
"210190 Bequimão";-;1;3;-;10;-;-;1;-;-;2;19;2;-;1;1;1;-;-;29;70
"210193 Bernardo do Mearim";-;-;3;-;3;-;-;1;-;-;3;10;1;-;-;-;-;-;2;12;35
"210197 Boa Vista do Gurupi";-;-;3;-;3;-;-;-;-;-;3;7;1;-;-;-;1;-;-;9;27
"210200 Bom Jardim";1;3;1;-;25;-;1;-;-;1;15;34;3;-;1;3;3;1;-;60;152
"210203 Bom Jesus das Selvas";-;1;2;1;13;-;-;1;-;-;7;26;5;1;3;1;2;1;2;54;120
"210207 Bom Lugar";-;-;4;-;8;-;-;-;-;-;5;12;5;1;2;-;1;1;3;8;50
"210210 Brejo";-;2;11;-;11;-;2;-;-;-;9;21;6;3;3;-;4;5;8;55;140
"210215 Brejo de Areia";-;-;1;-;5;-;-;-;-;-;4;7;1;1;1;-;-;1;5;-;26
"210220 Buriti";-;-;3;-;12;-;-;1;-;-;8;22;3;-;2;2;2;2;5;43;105
"210230 Buriti Bravo";1;1;1;-;4;-;1;1;-;-;2;16;2;-;2;2;2;2;4;28;69
"210232 Buriticupu";3;3;14;1;22;2;1;1;-;3;13;70;8;4;2;2;4;1;1;120;275
"210235 Buritirana";-;-;1;-;7;-;-;-;-;-;5;9;2;-;1;1;1;1;3;9;40
"210237 Cachoeira Grande";-;-;3;-;4;-;-;1;-;-;4;6;2;1;1;1;1;1;-;12;37
"210240 Cajapió";-;2;3;-;5;-;-;2;-;-;6;10;2;-;-;2;1;-;-;17;50
"210250 Cajari";-;3;5;-;5;-;-;1;-;-;10;12;4;1;2;1;3;-;2;19;68
"210255 Campestre do Maranhão";-;-;1;-;5;-;1;1;-;-;5;14;1;1;2;2;2;2;-;15;52
"210260 Cândido Mendes";-;-;3;-;7;-;-;-;-;-;7;11;-;-;1;-;-;-;6;20;55
"210270 Cantanhede";-;1;6;1;10;-;-;1;-;-;7;23;1;2;1;1;1;1;-;44;100
"210275 Capinzal do Norte";-;-;4;-;3;-;1;-;-;-;4;14;5;2;2;2;3;3;-;26;69
"210280 Carolina";1;1;4;1;9;1;2;-;-;3;8;26;2;1;2;-;1;-;3;48;113
"210290 Carutapera";-;2;2;2;5;1;1;2;-;-;9;44;6;1;5;8;4;5;-;92;189
"210300 Caxias";13;33;120;21;49;29;8;41;-;181;101;362;100;33;38;19;83;36;44;682;1993
"210310 Cedral";-;-;2;-;5;1;-;-;-;-;4;9;2;1;1;2;-;1;-;22;50
"210312 Central do Maranhão";-;1;2;-;3;-;-;-;-;-;3;9;-;-;1;-;-;-;-;10;29
